1.122E-02 0.3260  0.9839 2.236E-22 2.760E+04
1.128E-02 0.3245  0.9838 2.239E-22 2.770E+04
1.135E-02 0.3226  0.9837 2.241E-22 2.780E+04
1.142E-02 0.3205  0.9836 2.243E-22 2.790E+04
1.148E-02 0.3184  0.9835 2.244E-22 2.800E+04
1.155E-02 0.3152  0.9834 2.242E-22 2.811E+04
1.161E-02 0.3110  0.9834 2.236E-22 2.822E+04
1.168E-02 0.2936  0.9840 2.193E-22 2.837E+04
1.175E-02 0.3248  0.9850 2.064E-22 2.552E+04
1.182E-02 0.3307  0.9845 2.091E-22 2.563E+04
1.189E-02 0.3339  0.9842 2.104E-22 2.566E+04
1.195E-02 0.3364  0.9839 2.117E-22 2.572E+04
1.202E-02 0.3384  0.9836 2.129E-22 2.579E+04
1.209E-02 0.3392  0.9833 2.142E-22 2.591E+04
1.216E-02 0.3397  0.9830 2.154E-22 2.605E+04
1.223E-02 0.3399  0.9827 2.166E-22 2.618E+04
1.230E-02 0.3399  0.9824 2.178E-22 2.633E+04
1.237E-02 0.3396  0.9821 2.189E-22 2.647E+04
1.245E-02 0.3393  0.9818 2.200E-22 2.662E+04
1.252E-02 0.3389  0.9816 2.211E-22 2.676E+04
1.259E-02 0.3384  0.9813 2.221E-22 2.690E+04
1.266E-02 0.3379  0.9810 2.231E-22 2.704E+04
1.274E-02 0.3372  0.9807 2.240E-22 2.719E+04
1.281E-02 0.3364  0.9805 2.249E-22 2.733E+04
1.288E-02 0.3356  0.9802 2.258E-22 2.747E+04
1.296E-02 0.3347  0.9800 2.267E-22 2.761E+04
1.303E-02 0.3337  0.9797 2.275E-22 2.776E+04
1.311E-02 0.3324  0.9795 2.283E-22 2.791E+04
1.318E-02 0.3290  0.9794 2.284E-22 2.806E+04
1.326E-02 0.3340  0.9792 2.278E-22 2.778E+04
1.334E-02 0.3339  0.9789 2.290E-22 2.793E+04
